post_id,title,category,score,num_comments,author,collected_at
47689550,"LLM plays an 8-bit Commander X16 game using structured ""smart senses""",sports,15,0,russellharper,2026-04-09 13:46:11
47672778,Breaking the console: a brief history of video game security,sports,95,26,sprado,2026-04-09 13:46:11
47661065,"The team behind a pro-Iran, Lego-themed viral-video campaign",sports,166,261,tantalor,2026-04-09 13:46:12
47664186,"Battle for Wesnoth: open-source, turn-based strategy game",sports,537,163,akyuu,2026-04-09 13:46:14
47640728,Show HN: A game where you build a GPU,sports,956,187,Jaso1024,2026-04-09 13:46:15
47656501,The 1987 game “The Last Ninja” was 40 kilobytes,sports,307,192,keepamovin,2026-04-09 13:46:15
47637377,LÖVE: 2D Game Framework for Lua,sports,414,217,cl3misch,2026-04-09 13:46:18
47685704,How the Vision Pro Rollout Inflamed Tensions at Apple,sports,16,4,f_allwein,2026-04-09 13:46:39
47694234,Strait of Hormuz appears to remain closed amid conflicting US and Iran briefings,sports,20,3,gridder,2026-04-09 13:46:39
47639727,"When legal sports betting surges, so do Americans' financial problems",sports,222,148,pseudolus,2026-04-09 13:46:43
47681453,"Sports bets on prediction markets ruled to be ""swaps,"" exempt from state laws",sports,19,6,nradov,2026-04-09 13:46:45
47633676,"Extra usage credit for Pro, Max, and Team plans",sports,64,62,angst,2026-04-09 13:46:46
47691869,Façade (2005 Video Game),sports,5,0,jjmarr,2026-04-09 13:46:47
47644726,"Power-washing, pool-cleaning and mowing – playing games about mundane jobs",sports,24,4,andsoitis,2026-04-09 13:46:48
47622717,Study investigates how mass distribution of baseball bat affects performance,science,24,17,Magi604,2026-04-09 13:46:57
47627217,Running out of disk space in production,science,218,127,romes,2026-04-09 13:47:00
47650502,Computational Physics (2nd Edition) (2025),science,184,22,teleforce,2026-04-09 13:47:11
47665207,SOM: A minimal Smalltalk for teaching of and research on Virtual Machines,science,56,0,tosh,2026-04-09 13:47:13
47656303,Case study: recovery of a corrupted 12 TB multi-device pool,science,116,64,salt4034,2026-04-09 13:47:14
47694520,Gmail / Google Workspace Incendent Underway,science,8,2,vapemaster,2026-04-09 13:47:20
47691409,Reproducibility and robustness of economics and political science research,science,5,0,lamename,2026-04-09 13:47:21
47648404,My Google Workspace account suspension,science,369,221,zenincognito,2026-04-09 13:47:22
47629485,A case study in testing with 100+ Claude agents in parallel,science,67,54,thejash,2026-04-09 13:47:23
47694522,"With Orion still flying, NASA is nearing key decisions about Artemis III",science,9,2,LorenDB,2026-04-09 13:47:24
47702791,Show HN: 41 years sea surface temperature anomalies,entertainment,34,7,willmeyers,2026-04-09 13:47:40
47702647,"Launch HN: Relvy (YC F24) – On-call runbooks, automated",entertainment,9,9,behat,2026-04-09 13:47:41
47676561,Teardown of unreleased LG Rollable shows why rollable phones aren't a thing,entertainment,116,50,DamnInteresting,2026-04-09 13:47:43
47666398,Show HN: A (marginally) useful x86-64 ELF executable in 301 bytes,entertainment,56,16,meribold,2026-04-09 13:47:43
47696562,Show HN: Is Hormuz open yet?,entertainment,418,179,anonfunction,2026-04-09 13:47:43
47694036,Show HN: Orange Juice – Small UX improvements that make HN easier to read,entertainment,120,137,latchkey,2026-04-09 13:47:44
47690797,Show HN: Go-Bt: Minimalist Behavior Trees for Go,entertainment,59,9,rvitorper,2026-04-09 13:47:45
47661038,Show HN: I built a navigation app that displays weather along the route,entertainment,52,23,vkatluri,2026-04-09 13:47:45
47657204,Show HN: We built a camera only robot vacuum for less than 300$ (Well almost),entertainment,105,57,indraneelpatil,2026-04-09 13:47:45
47673360,Show HN: Brutalist Concrete Laptop Stand (2024),entertainment,776,233,sam-bee,2026-04-09 13:47:47
47699105,Show HN: Image to Music AI – Turn Any Photo into an Original Soundtrack,entertainment,5,3,airobus,2026-04-09 13:47:48
47681112,Show HN: An interactive map of Tolkien's Middle-earth,entertainment,283,66,frasermarlow,2026-04-09 13:47:49
47697679,I built a tool to let you export your X bookmarks and categorize them,entertainment,16,8,xarchive,2026-04-09 13:47:49
47680309,Show HN: Gemma 4 Multimodal Fine-Tuner for Apple Silicon,entertainment,225,27,MediaSquirrel,2026-04-09 13:47:50
47691174,Show HN: Explore the Silk Roads through an interactive map,entertainment,47,6,intofarlands,2026-04-09 13:47:51
47693407,Show HN: 500k+ events/sec transformations for ClickHouse ingestion,entertainment,12,3,super_ar,2026-04-09 13:47:51
